Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
ACCOLADE HEALTHCARE,7,6,1,0,0,0,0,100,0,0,1.7,2,1.3,3.7,3.5,3,0.7,57.6,54.6,,25,4.2,450483.55,75080.59,4,0.7,25.3,10.5,1.1,2.5,77.5,65.1,83.6,1.91,1.13,12.7,3.2,10.1,1,1.4,15.3,11,94,90.9,0.1,52.9,11.2,43.1,17.8,12.1,56.4,18.4
ACCURA HEALTHCARE,8,31,4,0,0,1,3.2,96.8,3.2,0,2.5,2.5,3.4,2.8,3.6,3.1,0.8,49.3,52.2,0.6,46,1.5,887274.66,28621.76,14,0.5,26.2,14.1,1.4,2.3,80.7,73.9,90.3,1.8,1.36,17.5,4.2,6.1,2.8,1.5,21.2,17.5,96.5,94.8,0,48.2,5,4.3,18.4,10.2,52.3,20.6
ACTS RETIREMENT-LIFE COMMUNITIES,9,26,9,0,0,0,0,11.5,88.5,0,4.3,3.7,4.6,4.2,4.6,4.2,1.4,36.4,35.7,0.7,34,1.3,509331.65,19589.68,2,0.1,22.3,11.6,1.2,2.4,80.4,93.7,88.2,1.4,0.75,12,6.3,4.7,2.5,1.4,19,15.3,98.6,95.5,0,62.5,5.5,1.9,16,10.5,56.2,0.9
ADAMS COUNTY MEMORIAL HOSPITAL,10,9,1,0,1,3,33.3,33.3,11.1,55.6,2.7,3,2.4,3.6,3.6,3.2,0.7,59.9,46.1,0.4,11,1.2,158717.94,17635.33,1,0.1,19.7,8.2,0.7,3.3,70.8,70.7,82.2,2.15,1.06,11.5,4.1,5.9,4.4,1.6,18,14.8,95.4,95,0,58,5.7,6.3,17.9,10.2,49.9,1.8
ADVANCED HEALTH CARE,11,25,11,0,0,0,0,100,0,0,4.7,4.3,4.4,4.9,6,5,1.6,50.7,46.9,0.3,51,2,484404.47,19376.18,1,0,20,10.7,0.3,1.7,83.8,91.5,94.3,1.48,1.48,17.7,2.5,4.8,1.3,2.4,7.2,8.5,94.1,81.5,0,45,5.6,6.4,25.7,11.1,28.3,11.2
ADVANCED HEALTH CARE MANAGEMENT,12,7,3,0,0,1,14.3,100,0,0,2.4,2.7,3.3,2.3,3.9,3.1,0.5,44.1,43.4,0.2,9,1.3,86361.53,12337.36,0,0,25.4,14.5,2,1.8,73.7,91.4,93.7,2.7,1.8,14.7,3.5,8.2,2.2,1,21.1,18.5,97.8,97.3,0,47.2,3.8,1.2,22.6,12.3,44.2,1.2
ADVANCED HEALTHCARE SOLUTIONS,13,39,1,0,1,3,7.7,74.4,0,25.6,2.4,2.5,1.6,3.6,3.1,2.7,0.3,50.4,50.3,0.6,58,1.5,1876232.51,48108.53,5,0.1,21.7,16.4,2.1,1.8,75.3,91.5,94.6,1.91,1.29,9,3.4,7.8,0.2,0.9,14.2,14.5,99,99.6,0,47.2,4.4,3.8,20.4,10.7,24.1,10.9
ADVENTHEALTH CARE CENTER,644,3,2,0,0,0,0,33.3,66.7,0,3,2.5,3.5,3,4.3,3.8,1.1,33.3,27.8,1,28,9.3,121767.43,40589.14,1,0.3,35.4,9,1.1,1.8,58.5,89.3,84.6,1.99,2.29,12.3,3.4,13.3,2.6,2.6,36.4,24.3,95.9,82.3,0,54.7,7.1,25.4,19.4,10.9,22.9,11.8
ADVINIACARE,16,15,2,0,2,2,13.3,100,0,0,2,2.1,2.1,2.9,3.3,3,0.5,57.9,71.7,1.2,28,1.9,1009006,67267.07,2,0.1,26.5,15.2,1.9,2.6,74.7,74.9,77.9,1.93,1.1,15.9,3.8,6.8,1.8,0.9,21.1,17.9,91.7,94.6,0.1,59.8,6.6,2.3,15.8,11.3,50.7,21.2
AHAVA HEALTHCARE,17,12,3,0,0,3,25,91.7,8.3,0,1.6,1.9,1.6,3.3,3.7,3.2,0.4,65.5,65.5,0.3,22,1.8,556446,46370.5,1,0.1,27,17.3,1.6,3.4,86.9,81.3,86.5,1.89,1.67,14.3,2.3,9,1,0.4,13,12,98.3,94.5,0,56,6.4,15.9,29.1,10.8,34.9,35.4
AHMC HEALTHCARE,18,5,1,0,0,0,0,100,0,0,3.4,3.4,3.8,4.4,6.7,6.2,2,24.8,18.7,,14,2.8,179314.47,35862.89,1,0.2,20.9,3.6,0,0.8,81.9,84.8,86.8,1.72,0.45,4.9,0.5,20,2.7,7.5,16.8,13,97.6,98.7,1.1,40.2,5,0,11.8,11.3,71.3,18.6
AJC HEALTHCARE,616,12,1,0,0,2,16.7,91.7,0,8.3,2.5,2.4,2.2,4.6,3.8,3.3,0.3,48.9,74.3,1.6,34,2.8,354971.42,29580.95,3,0.3,20.4,12.5,2.4,1.4,79.7,90,90.8,2.36,1.34,6.9,2.1,4.8,1.4,0.2,7.2,5.1,95.4,97.2,0,30.1,3.5,6,14,10.4,37,7
AKIKO IKE,582,6,3,0,2,2,33.3,100,0,0,2,2,2.7,2.8,3.7,3.4,0.8,57.9,62.9,0.8,13,2.2,339380.04,56563.34,5,0.8,17.9,13.9,1.2,3,69.8,68.3,74.1,2.06,0.96,19.3,3.2,9,2,0.8,21.4,17.3,93.7,93.7,0,55.8,7.1,1.5,18.2,9.5,55.8,23.2
ALARIS HEALTH,20,8,1,0,0,1,12.5,100,0,0,3.5,2.6,4.5,4.7,4.4,3.9,1,40.8,47.8,1,10,1.3,114517.93,14314.74,0,0,22.2,9.5,1,1.7,88.4,72.7,77.6,2.18,1.01,9.9,1.8,10,1.3,1,9.8,10.5,98,95.5,0,30.7,3.9,0.2,14.5,11.1,53.5,6.1
ALIYA HEALTHCARE,663,5,1,0,0,0,0,100,0,0,2,2.4,1.8,3.2,3.2,2.6,0.7,40.4,45.7,0.3,12,2.4,390154.53,78030.91,5,1,32.3,10.4,2.2,2.5,74.9,48.4,45.4,1.87,0.91,18.6,1.6,12,0.6,0.9,18.2,13.4,91.8,77.2,0,59.7,9.8,46.8,13,9.9,42.1,24.4
ALLAIRE HEALTH SERVICES,21,12,3,0,1,1,8.3,100,0,0,1.9,1.7,3,3.9,3.9,3.3,0.5,56.5,51.4,0.5,26,2.2,677163.39,56430.28,5,0.4,23.9,10.1,1.1,3.9,86.9,71.2,72.3,2,1.27,16.8,3.5,9.3,1,0.4,11.1,9.5,97,87.2,0,52,8,6.1,17,10.2,46.2,2.8
ALLEGIANT HEALTHCARE,22,5,2,0,0,1,20,100,0,0,2,1.4,2.8,3.8,4,3.5,0.5,62.3,65.3,1,23,4.6,242818.75,48563.75,0,0,24.3,9.7,1,1.8,71.2,85.7,93.3,2.14,1.25,9.9,3.4,9.2,0.8,0.9,14.5,12.9,98.7,98.9,0.3,45.3,8.9,4.4,22.1,11.9,2,16.5
ALLIANCE HEALTH & HUMAN SERVICES,23,7,1,0,0,1,14.3,0,100,0,3.9,3.7,4,3.4,4,3.4,0.7,47.4,45.5,0,5,0.7,50311.89,7187.41,0,0,27.1,13.2,1,3.2,80.4,81.7,83.5,1.85,0.82,15.8,5.5,6.8,2.6,1.2,16.3,14.1,97.3,95.4,0.1,48.1,5.2,0.7,15.4,11.8,60.6,12.8
ALLURE GROUP,24,6,1,0,0,0,0,100,0,0,2.7,2.5,2,4.2,3.6,3.1,0.7,34.6,42.9,0.6,9,1.5,23597.25,3932.88,0,0,20.8,12.5,1.2,1.7,82.8,57.9,63.4,1.81,0.87,4.9,1.5,11.5,0.8,0.3,12.4,11.5,89,84,0,39.2,7.2,22.1,6.4,9.4,23.9,1.9
ALLURE HEALTHCARE SERVICES,25,15,1,0,0,3,20,100,0,0,2.9,3.2,2,3.5,3.5,3.1,0.6,63.5,65.9,2.4,20,1.3,628776.8,41918.45,6,0.4,22.8,16.6,1.4,3.4,70.4,66.9,75.2,1.34,1.05,19.2,4.2,6.7,3.7,1,16,14.1,93.3,95.2,0,43.9,5.9,38.2,21.8,10,45.1,16.7
ALTERCARE,26,24,1,0,0,0,0,100,0,0,3.3,2.9,2,4.7,3.6,3.1,0.7,,,,49,2,368349,15347.88,2,0.1,19.4,10.8,1.6,2.2,85.1,70.6,68.3,1.37,0.98,8.9,2.7,6.1,1.8,0.2,15.1,11.5,94.3,87.6,0,54.5,5.7,21.6,23.5,10.5,32.1,12.1
AMA HOLDINGS,27,11,1,0,1,1,9.1,100,0,0,1.2,1.4,1.5,2.1,3.3,2.9,0.3,77.3,73.5,1.4,33,3,664771.03,60433.73,6,0.5,27.1,15.1,1.4,2.3,73.1,59.1,66.4,2.63,1.68,16.9,3.3,9.4,1.7,0.7,24.4,25.8,81.1,82.5,0,38.2,4.6,25.8,17.8,10.5,55.9,49.2
AMBASSADOR HEALTH,28,4,2,0,0,0,0,100,0,0,4.5,4.3,4.3,3.8,5.1,4.4,1,39.3,25.9,0.5,4,1,16905.01,4226.25,0,0,22.7,11,1.3,1.2,65.7,79.3,76,1.67,1.21,16,2.9,5.6,2.4,0.8,12.9,11.5,94.5,77.4,0.8,47.1,3.2,4,26,10.9,51.5,17.6
AMERICAN BAPTIST HOMES OF THE MIDWEST,29,6,5,0,0,0,0,0,100,0,2.5,2.2,4.2,3.3,4.2,3.6,0.7,56.9,45.2,0.2,27,4.5,170248.12,28374.69,2,0.3,26.9,15.9,1.2,2.3,76.8,69.8,86.3,1.52,1.18,17.8,3.9,6.1,3,1.4,17.9,14.7,97.2,93.7,0,56.9,4.1,1.5,8.9,9.6,60.9,4.5
AMERICAN HEALTH COMMUNITIES,30,28,2,0,1,2,7.1,100,0,0,2.3,2.4,2.5,2.7,3.7,3.1,0.5,50.2,45.8,0.4,44,1.6,734570.84,26234.67,3,0.1,22.3,13.9,1.6,3.3,81.2,69,67.9,1.65,1.16,19.4,2.9,10.1,4.1,2,23.7,17.6,86.6,82.1,0,45.8,6.9,11.9,29.5,11.3,19.1,6.6
AMERICAN HEALTH FOUNDATION,31,6,2,0,1,1,16.7,0,100,0,2.2,2.2,2,3.2,3.7,3.3,0.5,62,48.9,1.7,16,2.7,518569.26,86428.21,3,0.5,25.4,13.3,1.8,1.1,70.5,68.4,67,1.72,0.83,12.5,4.4,4.9,1.2,1.2,21.7,17.6,95.2,86.6,0,49.1,9.2,10.4,25.6,9.9,46.6,14.6
AMERICAN MEDICAL FACILITIES MANAGEMENT,645,10,1,0,0,0,0,100,0,0,3.2,3.8,1.7,2.2,3.4,3,0.6,,,1.3,8,0.8,67385.5,6738.55,0,0,22.5,16.2,2.7,5.5,69.8,73.7,80.5,1.74,1.83,17.1,4.1,9.8,6.3,1.5,18,13.8,96.5,98.4,0.2,45.2,9,0.9,26.6,10.2,55.2,2.9
AMERICAN SENIOR COMMUNITIES,33,78,1,0,0,5,6.4,38.5,32.1,29.5,3.4,3.2,2,4.4,3.5,3,0.5,53.7,43.6,0.7,58,0.7,975221,12502.83,2,0,22.1,12.2,1.2,2.9,84,89.1,89.7,1.75,1.17,8.3,4.2,6.3,1.2,0.5,5.4,10.9,98.5,96.8,0,63.5,4.8,19.8,21.7,10.4,35.2,6.7
AMERICARE SENIOR LIVING,34,23,2,0,0,1,4.3,100,0,0,3.7,3.7,2.8,3.3,3.6,3.1,0.6,52.8,42.9,0.5,21,0.9,297070.26,12916.1,1,0,22.6,13.4,2.6,1.6,78.8,69.3,83.5,1.91,1.55,20.4,5.8,7.3,2.5,1.7,15.3,14.9,95.2,96.3,0,43.5,6.1,5.4,25.3,10.4,40.5,4.4
ANEW HEALTHCARE,35,8,3,0,2,3,37.5,87.5,0,12.5,1.5,1.5,1.8,2.1,3.2,2.8,0.4,70.9,70,2,24,3,410194.66,51274.33,4,0.5,27.4,22.9,1.9,0,81.7,49.5,43,1.99,1.27,18.8,3,8.9,4.2,2.1,23.5,22.6,91.2,69.1,0,38.8,7.5,8.7,24.9,10.5,31,0
ANTHONY & BRYAN ADAMS,36,37,2,0,0,0,0,100,0,0,3.4,3.2,2.6,3.7,3.7,3.1,0.3,58,55.9,0.6,29,0.8,309038.6,8352.39,4,0.1,26,12.7,1.1,3.9,86.7,68.4,74,2.02,1.36,8,4,8.3,2,1.2,9.4,12.4,94.9,91.8,0,38.4,4.4,0.7,18.5,10.8,39.3,1
AOM HEALTHCARE,37,21,1,1,1,2,9.5,100,0,0,1.9,2,1.3,3.9,3.1,2.7,0.5,65.1,68.2,1.2,42,2,765946.35,36473.64,7,0.3,23.4,15,2.7,3.7,74.2,72.5,75,1.61,1.82,14.9,2.6,7.6,0.8,0.4,9.2,10.6,95.3,86.8,0.1,23.8,4.8,26.3,28,11.4,22.6,2.3
APERION CARE,38,36,2,2,2,17,47.2,100,0,0,1.8,2,1.4,3,2.9,2.5,0.5,54.5,52.1,0.6,171,4.8,6105028.47,169584.12,55,1.5,25.6,15.1,3.2,2.8,71.6,49.9,47.4,2.05,1.69,24.2,2.4,8.2,0.6,0.6,11.2,10.3,92.4,72.2,0.1,41.2,6.7,73.9,18.8,10.4,57.1,6.3
APPLE REHAB,39,20,2,0,1,6,30,100,0,0,1.7,1.9,2.2,2.3,3.2,2.8,0.6,48.5,54.3,0.7,40,2,834670.32,41733.52,0,0,24.8,14.6,1.8,2.8,73.4,52.3,45,2.59,1.32,16.5,4.2,6.2,3.1,2,26.5,20.7,88.8,71.2,0,42.7,8.4,1.1,15,10.5,33.5,4.7
ARABELLA HEALTHCARE MANAGEMENT,633,10,1,0,0,0,0,100,0,0,2.2,2.1,2.9,3.4,3.2,2.7,0.5,68.9,75.9,1.7,59,5.9,290826.62,29082.66,2,0.2,23.7,14.1,4.2,2.3,80.3,55.3,52,2.12,2.14,21.4,1.8,9.1,1.5,1.1,14,11.9,94.4,72.4,0,36.5,5.9,3.1,21.6,10.6,38.9,19.1
ARBOR CARE CENTERS,40,9,1,0,0,1,11.1,100,0,0,2.7,2.8,2.2,3.4,3.3,2.8,0.6,56.3,53.2,0.8,8,0.9,60911.5,6767.94,3,0.3,29,10.9,2.1,5.2,90.6,83.2,87.4,1.7,1.05,22,2.9,7.1,2.8,1,17.2,12.6,98.1,97.1,0,53.1,5.5,2.8,22.7,10.3,62.6,3.2
ARBORETA HEALTHCARE,618,24,5,0,1,4,16.7,91.7,0,8.3,1.4,1.9,1.4,2,2.7,2.4,0.6,77.1,77.5,3.3,37,1.5,1239289.5,51637.06,8,0.3,21.8,15.3,3.6,5.6,82.1,60.3,64.5,1.89,1.82,21,3.8,7.3,2.9,1.3,21.3,19.8,92.7,81.4,0,47.3,6,5.3,25.6,10.5,60.8,2.4
ARBORS AT OHIO,41,16,1,0,1,5,31.3,100,0,0,2.1,1.9,2.3,4,3.6,3.1,0.6,50.8,48.7,1.2,24,1.5,830588.7,51911.79,3,0.2,22.9,13.4,2.2,4.8,86.5,73.4,74.6,1.8,1.52,11.8,3,7.6,0.7,0.4,9.8,9,98.1,94.9,0.1,44.7,7.4,3,27.1,10.4,25.2,5
ARCADIA CARE,42,10,1,0,1,4,40,100,0,0,2.2,2.4,1.5,3.2,2.9,2.6,0.5,59,62.3,0.5,32,3.2,1443149.52,144314.95,11,1.1,22.4,15.4,1.7,2.6,68.8,72.9,82.9,2,1.32,14.9,3.4,5.7,1.5,1.2,13.5,9.9,95.2,90.2,0,46.9,7.4,51.8,20.6,10.3,58.7,9.8
ARCHCARE,43,6,1,0,0,1,16.7,16.7,83.3,0,2.5,2.5,1.7,4.2,3.2,2.8,0.8,54.6,60.4,1,6,1,50555.75,8425.96,0,0,21.2,9.8,1.2,2,86.4,73,71,1.93,0.86,8.8,2.6,6.9,0.9,0.3,10.8,10.8,94.3,85.6,0.2,61.5,8.3,5.1,12.2,9.8,56.9,20.1
ARISTACARE,45,7,2,0,2,1,14.3,100,0,0,1.6,1.4,2.6,3.3,3.4,2.9,0.5,51,53.3,1,27,3.9,744429.25,106347.04,1,0.1,25.6,9.2,2.2,3.4,84.8,65,53.3,2.41,1.27,21.4,2.5,11.1,1,1.7,10.8,14.1,94.8,81.2,0.1,30,7.1,17.1,25.1,9.8,57.4,14.4
ARROWHEAD HEALTHCARE PARTNERS,46,5,1,0,0,1,20,60,0,40,2,1.8,1,4.8,3,2.7,0.3,62.9,71.5,2,9,1.8,377571.29,75514.26,1,0.2,21.6,8.2,0.9,1.4,82.7,85.4,92.2,1.4,0.5,6,2.9,6.4,0.6,0.7,16.1,16.9,99.5,100,0,60.7,5.6,3.5,17.1,12.2,9.1,0
ASBURY COMMUNITIES,47,8,3,0,1,0,0,0,100,0,3.1,3,3.3,3.6,3.9,3.4,0.7,48,39.5,0.8,6,0.8,341991.94,42748.99,2,0.3,21.3,12.8,2.2,3.6,78.1,75.8,85.7,1.44,0.72,12.9,3.7,7.3,3.7,1.2,24.7,14.9,97.6,95.9,0,63,6.5,1.3,14.5,10.8,65.8,27.2
ASCENSION LIVING,48,28,12,0,1,2,7.1,0,100,0,2.6,2.5,3.4,3.2,3.7,3.3,0.8,59.2,51.5,0.5,42,1.5,1305476.53,46624.16,8,0.3,23.3,13.6,1.3,2.9,72.7,73.1,76.2,2.1,1.17,12.8,4.7,8.4,3,1.3,18.6,16,92.6,92.8,0,47.7,5.9,9.3,15.5,10.4,39.4,3.2
ASCENTRIA CARE ALLIANCE,49,5,2,0,0,0,0,0,100,0,4,4,4,2.8,4.2,3.6,0.6,44.4,50.4,1.4,8,1.6,71238.78,14247.76,0,0,23.2,16.1,1.7,3.9,66.3,79.9,79.6,1.99,1.15,14.2,3.7,6.5,2.3,0.8,15.7,11.9,97,91.3,0.2,59.7,5.9,1.2,13.7,9.8,56,27.9
ASPEN SKILLED HEALTHCARE,50,26,1,0,2,3,11.5,100,0,0,3.3,2.8,3.2,4.3,4.2,3.8,0.6,45.6,48.5,0.4,75,2.9,770860.89,29648.5,3,0.1,23.1,12.7,1.5,1.3,82.3,96.3,97.3,2.01,1.01,7,1.8,7.7,1.3,2,15.2,7.9,99.2,97.4,0,47.3,5.5,2.9,8.7,10.6,49.8,13.8
ASPIRE SENIOR LIVING,51,8,1,0,0,0,0,100,0,0,2,2.5,2.1,2,3.5,3,0.4,63.1,65.3,0.2,27,3.4,186859.67,23357.46,1,0.1,26.3,13.7,5,1.1,64.3,59.1,61.3,2.15,1.71,25.7,4.3,8.6,6.5,1.6,13.6,15.3,87.2,80.4,0,25.4,6,10.6,23.6,10.7,50,15.8
ATHENA HEALTHCARE SYSTEMS,52,40,3,1,2,14,35,100,0,0,1.8,1.8,2.8,2.4,3.4,3,0.5,42.4,51.8,0.7,103,2.6,4624449.67,115611.24,8,0.2,23.5,14.8,2.5,1.9,70.5,54.3,55.8,2.23,1.52,25.2,3.6,6.1,2.2,1.7,19.4,17.2,86.8,83.1,0,43.5,6.6,3.8,23.3,10.6,39.6,8.3
ATIED ASSOCIATES,53,18,4,0,2,7,38.9,100,0,0,2.2,2.4,1.9,2.5,3.1,2.7,0.6,45,42.1,3.3,70,3.9,2039948.21,113330.46,21,1.2,29,12.3,2.7,2.2,68.7,50.7,47.9,2.17,1.36,19.7,2.6,7.4,2.2,1.7,13.6,13.8,88.5,73.5,0,43.9,6.2,48.1,14.6,10.7,39.8,15.6
ATLAS HEALTHCARE,598,11,2,0,0,0,0,100,0,0,3.2,2.7,2.4,4.6,3.5,3.1,0.5,54.7,56,0.5,20,1.8,242238.38,22021.67,1,0.1,23.4,8.7,1.3,2.3,89.6,74.9,72.2,1.62,0.57,12.7,2.3,7,0.6,0.3,9.4,8.2,96.5,92.6,0,54.3,6.4,4.5,16.9,10.6,50.8,5.3
ATRIUM CENTERS,54,28,4,0,0,1,3.6,100,0,0,2.6,2.5,2.9,3.6,3.5,3.1,0.7,50,46.9,0.4,60,2.1,2461032.46,87894.02,21,0.8,24.2,14.6,2.1,3.9,77.4,68.7,65.7,1.64,1.47,16.2,3.7,8.7,3.8,2.1,9.7,13.2,90.4,85.5,0.1,34,6.8,10.5,17.2,10.6,52,19.3
